Track,Artist,track_uri
Far Away,Washed Out,2mMn07aUgWws5ILSdjAUy6
Feel It All Around,Washed Out,6IE47jpPeatF2Iay7GZtEc
Soft,Washed Out,40cwF1udmccIralGNzvXIP
New Theory,Washed Out,4i13Vno2UPtn6kp2Ge9N2J
All,Blackbird Blackbird,4NL7K25jKNiKY5bei9hzV6
Love Unlimited,Blackbird Blackbird,6JzAIQgmtMY12wC3ZnvBIL
Lately,Washed Out,0cqezqAud2vEVUaygg209i
Midnight Song,Wild Nothing,5C0oQhM4GioHWk8wmBSLbO
I Wanted You To Stay On The Other Side,Summer Heart,3XIokimBz1CagC0HX4lAwD
Rusty Scars,Summer Heart,3PJii5P05j4kaBB1gy5F1v
After the Moment,Craft Spells,5ozIJrlaCAf3g8MMyot483
Animals,Baths,4qnvETk1dIsnddsWAEsp2B
All I Know,Washed Out,3VUSo9gCZxjKAw5kfSt2aS
You and I,Washed Out,0ymSXr1gGixDTPt9eXl4N4
So Many Details,Toro y Moi,5Z7cI9glyUTDTRtWSs8K9I
Rafting Starlit Everglades,Baths,0LJqm1MSXoWaj2rBclwc9g
Lofticries,Purity Ring,45aZM1UAGfThfsQ6haapFu
Feathery - Slow Version,Milky Chance,798IyUjOzBkjliWev26j9j
Easy,Son Lux,6J6FXmYrMxg93mBxkugUlI
Girl,Jamie xx,3esjTrpXxTrJkCVjrQpcDB
Loud Places,Jamie xx,0Sl8C9oeS3b5Kv9bSvTPDr
Towers,Bonobo,7iE9oBkH73M1K74gyjjx7c
Retrograde,James Blake,03CLsFk6JSz301bKuukPSD
The Rest Is Noise,Jamie xx,7JjzVELpOxqsKP4jNcZXlA
Ezra,Flume,0zG9M0rfjwe9gwsaQXN071
Don't Mind Me (feat. Whoarei),Nosaj Thing,4NqnsZL9lICSjCwvAaTAr8
Aquarium,Nosaj Thing,4ZOv9mx6Lz7RRaBFi5UNaE
Within and Without,Washed Out,4VcaFhRx7azom4WzCapAyi
Rose Quartz,Toro y Moi,6b7z3keZ5gDJ2zBnyrke9P
ILYSB,LANY,0dPBlz8N0veeceejtuvpPz
Eyes Be Closed,Washed Out,0AtMGGNifzEQuO3Lk7tRXe
17,Youth Lagoon,3WtB2who5tPeyzpe2rAoPk
Shadow,Wild Nothing,5Gw9k92WbpQTUmDBYcIL8s
The Chase,Future Islands,0omNbptgQhHn9qsP5QF307
Boys Life,Small Black,2S01104ghxxnoSCzGXCPdZ
Crime,Real Estate,3msjDgdfwJ0Qcv2tXoisNN
Hold Out,Washed Out,3at4rOqs24ih4UXETgMZRS
Afternoon,Youth Lagoon,6m5X8zsTUdNlUjpiaRoagU
Icarus,White Hinterland,7BiAsId2JTF6saW28t6Ent
Golden Light,STRFKR,4O2aCfXPP9FfPoIPixwVBz
Party Talk,Craft Spells,6N2kBsYvZaS7tO5awPcnSV
Sutphin Boulevard,Blood Orange,3JmepPKzEIFMgvj5PLQFyr
There Is Nowhwere - Phages Remix,Blackbird Blackbird,0C5hUBDS6uf5Wi8okBGymg
Visionary (iTunes Exclusive),Blackbird Blackbird,1Y73NmSgzRIprMi2pEJUa3
Rare Candy - Tone of Arc Remix,Blackbird Blackbird,1KBnc598XFFulJN4DGfepa
Paradise,Wild Nothing,3atgxcFFXR3y6o26TqpELk
