Track,Artist,track_uri
Story of My Life,One Direction,4nVBt6MZDDP6tRVdQTgxJg
You & I,One Direction,2afCBiru10AFckfOa49wIa
Half a Heart,One Direction,6nIE1oCE4udqMGv3bqVNVb
Tell Me a Lie,One Direction,5ol6DEWpysoqvPlvq13q8n
Stay With Me,Sam Smith,5Db9VIdDsN5yu3Eu7CT0i4
I'm Not The Only One,Sam Smith,0fioLzGM8ngbD1w6fMmm45
Like I Can,Sam Smith,4iOoHmJJiqyTxsXSa5uELv
Lay Me Down,Sam Smith,1fnCJ85pEhKrpU9IsxoitM
If I Were a Boy,Beyoncé,1oQZk2bKBLgP1cbuFKvjkq
Turning Tables,Adele,5O6yk6U8L3rTbFsIwuqe8H
Neon Lights,Demi Lovato,34MJ07N9Bhu6iKPaxSVnCT
Really Don't Care,Demi Lovato,5vTPxzm4h2bY9rYyVrGEU5
Warrior,Demi Lovato,7nCBOm2WiTUPAx3TeG2rZA
Don't You Remember,Adele,24cKN8P2uGWypxTw5WaNlq
Hopelessly Devoted To You,Olivia Newton-John,5nNpVC9AC6DWgrT5RX0e0b
There Are Worse Things I Could Do,Stockard Channing,4QylPpokypCmaiCecvfrIM
A Sky Full of Stars,Coldplay,0FDzzruyVECATHXKHFs9eJ
Can't Remember to Forget You,Shakira,4Uc6BcPeBKfZUlX6jhumGv
A Thousand Years,Christina Perri,6lanRgr6wXibZr8KgzXxBl
Everybody Talks,Neon Trees,2iUmqdfGZcHIhS3b9E9EWq
A Little Too Much,Shawn Mendes,06DaCxeg3IUMcxDkKEyQKf
Bleeding Out,Imagine Dragons,0RchWnEHETINMAyrTrlBmo
Diamonds,Rihanna,4JQSMg83F8qYwSBt5xOXsQ
Jar of Hearts,Christina Perri,0HZhYMZOcUzZKSFwPOti6m
Same Love - feat. Mary Lambert,Macklemore & Ryan Lewis,01uqI4H13Gsd8Lyl1EYd8H
Trumpets,Jason Derulo,6jizk5lOUnfpaZXYMdfeC6
Just the Way You Are,Bruno Mars,7BqBn9nzAq8spo5e7cZ0dJ
Somebody That I Used To Know,Gotye,4wCmqSrbyCgxEXROQE6vtV
Payphone,Maroon 5,1XGmzt0PVuFgQYYnV2It7A
Say Something,A Great Big World,5TvE3pk05pyFIGdSY9j4DJ
She Will Be Loved - Radio Mix,Maroon 5,4llK75pXNWZz6KAho2Gp16
Lay Me Down,Sam Smith,1fnCJ85pEhKrpU9IsxoitM
Impossible,James Arthur,6skGMlljk0s5yeBKZ7sN5n
When I Was Your Man,Bruno Mars,0B7wvvmu9EISAwZnOpjhNI
Love Me Again,John Newman,5VSCgNlSmTV2Yq5lB40Eaw
Counting Stars,OneRepublic,5edBgVtRD0fvWk140Sl21T
Stay - Album Version (Edited),Rihanna,4zzzZ1UNfr75ASG1lUE9L1
In Your Arms,Nico & Vinz,0LH5xRQz5D36FpIkYUFv2e
Never Be Alone,Shawn Mendes,6wQSrFnJYm3evLsavFeCVT
I Bet My Life,Imagine Dragons,15DrrIod12Tc2IoMaHiwlQ
Masterpiece,Jessie J,7nToEPuB95Y5rsJ3VrH3wQ
Single Ladies (Put a Ring on It),Beyoncé,557un1HgwYMuqfWGSTmnxw
We'll Be The Stars,Sabrina Carpenter,0dlg3oo4rWgJ0kCU8eXld7
Something Big,Shawn Mendes,59uAvq0IeWRGkCJAki11ve
Cool Kids,Echosmith,13P5rwmk2EsoFRIz9UCeh9
Rude,MAGIC!,6RtPijgfPKROxEzTHNRiDp
Heroes (we could be),Alesso,6WQLkih8nE0JdUCEyLaGnQ
Elastic Heart,Sia,6kwAbEjseqBob48jCus7Sz
I Will Always Love You,Whitney Houston,4eHbdreAnSOrDDsFfc4Fpm
Big Girls Don't Cry (Personal),Fergie,3Q4WeJmzxuDpzMu9QjQqbM
No Air,Jordin Sparks,1jUA4rb6ZCv4gby4YU53xq
Set Fire to the Rain,Adele,3CKCZ9pfwAfoMZlMncA1Nc
Unconditionally,Katy Perry,2RPNCUaDL2ixoY9wGpoJoQ
Girl On Fire,Alicia Keys,4esOae7i4rqTbAu9o5Pxco
Summertime Sadness,Lana Del Rey,3BJe4B8zGnqEdQPMvfVjuS
Apologize,OneRepublic,6fOPuabPdAJ0HgqJFcDGb1
Young And Beautiful,Lana Del Rey,2nMeu6UenVvwUktBCpLMK9
She Will Be Loved - Radio Mix,Maroon 5,4llK75pXNWZz6KAho2Gp16
Same Love - feat. Mary Lambert,Macklemore & Ryan Lewis,01uqI4H13Gsd8Lyl1EYd8H
Just Give Me a Reason,P!nk,1mKXFLRA179hdOWQBwUk9e
Brave,Sara Bareilles,6Uy6K3KdmUdAfelUp0SeXn
Someone Like You,Adele,4kflIGfjdZJW4ot2ioixTB
Jealous - Remix,Nick Jonas,07BAaeVwEwkzQrE3qJxJ5S
All of Me,John Legend,3uhBIQ7tv8j1FME8cFGEfG
Let Her Go,Passenger,2jyjhRf6DVbMPU5zxagN2h
Take Me To Church,Hozier,0IqKeD8ZSP72KbGYyzEcAs
Wrecking Ball,Miley Cyrus,2vwlzO0Qp8kfEtzTsCXfyE
Halo,Beyoncé,2CvOqDpQIMw69cCzWqr5yr
Chandelier,Sia,4VrWlk8IQxevMvERoX08iC
Thinking Out Loud,Ed Sheeran,1Slwb6dOYkBlWal1PGtnNg
Stitches,Shawn Mendes,1WP1r7fuvRqZRnUaTi2I1Q
"See You Again (feat. Charlie Puth) - From ""Furious 7""",Wiz Khalifa,6IcrwGdIvRsrImOnoYfG9Z
The One That Got Away - Acoustic,Katy Perry,5jx8tCxiO0uIbo2uNia23K
One Last Time,Ariana Grande,7bJwvubZZaoGE1AGEfu8Fi
Dear Future Husband,Meghan Trainor,3cU2wBxuV6nFiuf6PJZNlC
Sweet Nothing,Calvin Harris,0lsqtZVyovtBSQtWdD44LH
The Kids Aren't Alright,Fall Out Boy,2zmk3eaesHxXcC2eEbDckZ
You Raise Me Up,Saara Aalto & Teemu Roivainen,2OF8ch5mfyydSjTaV1xY1N
Only Hope,Switchfoot,6pwhSBxhaF5x0WbNZRyzlD
