Track,Artist,track_uri
Livin' On The Edge,Aerosmith,4avSaixVwu8uqfSs7zgoj3
Roses,The Chainsmokers,6O6M7pJLABmfBRoGZMu76Y
Cocaine,Eric Clapton,2udGjDmpK1dH9VGyw7nrei
You Shook Me All Night Long,AC/DC,2SiXAy7TuUkycRVbbWDEpo
Dream On,Aerosmith,5MxNLUsfh7uzROypsoO5qe
Heads Will Roll - A-Trak Remix,Yeah Yeah Yeahs,64zjna5dIuO7s9FCDXQMmI
"10,000 Emerald Pools",BØRNS,2pA4ip3VIEVcIa3qE02oAX
Do I Wanna Know?,Arctic Monkeys,3rq5w4bQGigXOfdN30ATJt
Arabella,Arctic Monkeys,4FSm0Ca6Hzd7Vx7TpSfcSy
Why'd You Only Call Me When You're High?,Arctic Monkeys,48q0vSHcJdhK3IiXH8C5WJ
