Track,Artist,track_uri
Please Don't Leave Me,P!nk,1piKQrJZ18Mrx7Zen6HrpB
Someone Like You,Adele,4kflIGfjdZJW4ot2ioixTB
It Will Rain,Bruno Mars,4rMNgxEwGWoPHIUcvB5BrB
Best Thing I Never Had,Beyoncé,3lBRNqXjPp2j3JMTCXDTNO
Bleeding Love,Leona Lewis,7wZUrN8oemZfsEd1CGkbXE
Whataya Want from Me,Adam Lambert,0zv9bOC2NSMd3Fw2HgM5Xn
Hurt,Christina Aguilera,3ztj8xMJVfTUg8S8cTCfP3
Take A Bow - Main,Rihanna,39afswHs17v53znQm1gDTY
Better in Time,Leona Lewis,2iXBZ32Fz5VDCLeE0JIdX5
If I Were a Boy,Beyoncé,1oQZk2bKBLgP1cbuFKvjkq
Apologize,OneRepublic,6fOPuabPdAJ0HgqJFcDGb1
Love Song,Sara Bareilles,4E6cwWJWZw2zWf7VFbH7wf
When I Was Your Man,Bruno Mars,0B7wvvmu9EISAwZnOpjhNI
Grenade,Bruno Mars,4lLtanYk6tkMvooU0tWzG8
So Sick,Ne-Yo,4SRqDmPxYX0pUb5B5ut2Ri
Big Girls Don't Cry (Personal),Fergie,3Q4WeJmzxuDpzMu9QjQqbM
¡Corre!,Jesse & Joy,5kIcrM3QVD4BQPFMszQnU1
Rolling in the Deep,Adele,1CkvWZme3pRgbzaxZnTl5X
Mientes,Camila,5EhzE6HJaCcLFrf5rPqvpk
Aléjate de Mí,Camila,15AbuFJdFrbINydSMSqVhV
Feeling Sorry,Paramore,5yotNCnj3l9JUfCSXi0kNQ
Me Puedo Matar (feat. Hactor Acosta),Bachata Heightz,0LZQnaXoK56LjyLkTv2pKQ
Jar of Hearts,Christina Perri,0HZhYMZOcUzZKSFwPOti6m
A Little Too Not Over You,David Archuleta,10QsFPJ3owUxJKe0fzA1A2
Call Me When You're Sober,Evanescence,663Karu2rvKLdnY0eo1n3M
Cry Me a River,Justin Timberlake,7Lf7oSEVdzZqTA0kEDSlS5
The One That Got Away,Katy Perry,4uQY80TKE1u4ZQZQKHzVEi
Behind These Hazel Eyes,Kelly Clarkson,6xBQEW4ge9OlbYUt5IVyVz
Payphone,Maroon 5,1XGmzt0PVuFgQYYnV2It7A
Carry On,fun.,5xZjfKSfTooDP2rcAgjxlH
Rechazame,Prince Royce,07p0kLnvfQQ2bLujHyzSGK
El Amor Que Perdimos,Prince Royce,06EgH8BdWW9QRrlI6ZVQhW
I Hate This Part,The Pussycat Dolls,7GgUY1TK5etQrJqCVuYWMW
What Hurts The Most,Rascal Flatts,6U5pgPq1bsJ6UBeakd4mfQ
Your Love Is A Lie - Explicit Album Version,Simple Plan,0Hv2IWtvPPca1F4zhC4UFs
Impossible - Main,Shontelle,5lD0amV3bUehz3Xt80tCQK
Picture To Burn,Taylor Swift,32mVHdy0bi1XKgr0ajsBlG
Should've Said No,Taylor Swift,16MVSD0mGI4RMQT83Qzm69
A Perfectly Good Heart,Taylor Swift,0KPNFpl66BLu5kjG6jluWx
I Hate Everything About You,Three Days Grace,0M955bMOoilikPXwKLYpoi
50 Ways to Say Goodbye,Train,2NniAhAtkRACaMeYt48xlD
Te Extraño - Bachata Version,Xtreme,0muI8DpTEpLqqibPm3sKYf
Wish You Were Here,Avril Lavigne,3VcaQY2NiZuZEOKNghNhqe
When You're Gone,Avril Lavigne,4VdYpmlf6EDmqbAcWc2jt7
My Happy Ending,Avril Lavigne,6sqNctd7MlJoKDOxPVCAvU
Perfect World,Simple Plan,7KXEo8Hu5WC5MOSroFYRBX
White Horse,Taylor Swift,6wn61Fzx9XMxQmieLpoIhW
Forever & Always,Taylor Swift,47HtKpfzpAt8rQjjXWotFj
Dear John,Taylor Swift,7hZuICN5eaCuQyp443RCt6
The Story Of Us,Taylor Swift,3RBluWmSoG2pGA1OePzGJI
Better Than Revenge,Taylor Swift,2ythurkTtSiyfK7GprJoFW
Haunted,Taylor Swift,28M2gifMU282QBM3fKajIS
Breakeven,The Script,1a1i2IwXnUN0PjllVEhA4B
It Ends Tonight,The All-American Rejects,1FMHNVeJ9s1x1l1WlaRs2I
Nothing,The Script,3cdhgO3vgHyOIADMXokd2t
If You Ever Come Back,The Script,6Vg3QC5UcpdAcGXgUqkjIX
Long Gone and Moved On,The Script,7mQxnPIvw0V7LWFoHBF8uZ
25 To Life,Eminem,64XdaHjuyOQmVRdqn7aCgB
Dejarte de Amar,Camila,2itL5ufxxduT1hUocBvSdJ
Suppose,Secondhand Serenade,7C7LxalPf7yuGu5AMA8zll
Wish You Were Here,Hey Monday,3HEdexQnG2w234AjmlEC0g
You're Dead Wrong,Mayday Parade,2ZfRaS9IbIDgMXAc2j4KCS
Should've Gone to Bed,Plain White T's,1XzvZmMmIeAyiAK8JrEtdj
Hate (I Really Don't Like You),Plain White T's,6cQSR4chKDTFhlCT2MuNwq
Come Back To Me,Plain White T's,5djq6MVBl227gA0M83Byv7
Cry Me a River,Justin Timberlake,7Lf7oSEVdzZqTA0kEDSlS5
Headstrong,Trapt,1AEYT6VxrxXPMoQUxsY0E4
Stay,Miley Cyrus,7o9AYzTQfykIJ6HUt7FT0v
7 Things,Miley Cyrus,5ecZWU5uQOiCVSnPxBZNmT
Cups - When I'm Gone,Theater Stars Band,3s6mojuLiWxTawxo2qmWZr
More Than This,One Direction,0UAB340gAcSMk3r0a8PTag
Tonight I’m Getting Over You,Carly Rae Jepsen,4w2sOKmotzKsdGDLHic94B
Here We Go Again,Demi Lovato,33RJ3P6wc0B0FIyDalhNTv
Don't Forget,Demi Lovato,4He7bzKBaiu7CRz4wGkZzx
Get Back,Demi Lovato,5rnLFnHktBdmpxwYXJXyQI
That's What You Get,Paramore,1JdKrFyoU05abww0Zv0ayQ
Miss Movin' On,Fifth Harmony,08GujSR7BcjakZUzX0R0nl
Este Corazón,RBD,08tzeELJf0yw0DRPaZfqE4
Fuiste Mala,A.B. Quintanilla III,6RWa1cOsOnefCnV6mzPprB
Brave,Sara Bareilles,6Uy6K3KdmUdAfelUp0SeXn
Summertime Sadness,Lana Del Rey,3BJe4B8zGnqEdQPMvfVjuS
No Surprise,Daughtry,4UtHw3YzKUVxouN9zOG0ly
Te Perdiste Mi Amor,Thalía,1Q8NiatGDc6YgefNwT7Jgu
Someone Else,Miley Cyrus,0vRFKF7dGdL5XxZMXzpCpF
Wrecking Ball,Miley Cyrus,2vwlzO0Qp8kfEtzTsCXfyE
No Love,Simple Plan,6wfWxdhCsM81XSEHVuSI35
"You Need Me, I Don't Need You",Ed Sheeran,5KL4iZkCTZyXl7KnHgfVDj
Pobre Diabla,Don Omar,3QaaQcS4ThV0ew5xTPMMsH
