Track,Artist,track_uri
Let's Get It On,Marvin Gaye,0jHkgTtTaqg5LNCiYDQPUB
Boogie On Reggae Woman,Stevie Wonder,0yAQnsv4FhvNhntxTq7XNy
Move On Up - Extended Version,Curtis Mayfield,01gDLZsi0j5fWC28FLPNO8
You Are So Beautiful,Al Green,1O6gl6vPijhyzqtI0rd62p
I'm Gonna Win Your Love,Curtis Mayfield,7KnpRECic25LJDCrvL1cPs
After the Love Has Gone,"Earth, Wind & Fire",3cfnGXJ9bmiWvFqEO6ff8B
Have You Been Making Out OK,Al Green,6cB125fcIdCfgRnGm3KwtC
Heaven Must Be Like This,D'Angelo,6NA2IIPkgNN9johIhFrByb
Reasons,"Earth, Wind & Fire",1srD2uc11TcQiOmHHrJp8M
The Makings Of You,Curtis Mayfield,1Mq4vRRox3bcruJA75M4D9
I Love Every Little Thing About You,Stevie Wonder,7fgKf2KTBTEP86FM0vueXP
Lovin' You,Minnie Riperton,3ebYtLVuV4HzEZUDcpZB9p
My Girl,The Temptations,6RrXd9Hph4hYR4bf3dbM6H
After Sex,The Staple Singers,309x3mpn35EcRpHgRpPvBL
Distant Lover,Marvin Gaye,5Xt3RUiOkiH2pGYtMTVeNS
"Give Light, Live Life, Love",Nicholas Payton,6WiPENkECeF7TH37IdXzcz
Take Your Time,Al Green,1pwy1QgUguLCykSAmLPMIQ
Change Your World,Anthony Hamilton,6qiH0OG98zIT8TXaaQ7L1W
Untitled (How Does It Feel),D'Angelo,4oPNN7syJYSjzDhRerF966
Is This Love,Corinne Bailey Rae,2l1BYvzTOKFKDLAXeQc3SE
Send It On,D'Angelo,5LIwaG8Wl9LfExcmiRQm7J
Closer,Corinne Bailey Rae,6JsCQ6kXyaQVxuenyBIJtS
Pusher Love Girl,Justin Timberlake,4tVEJTR4VgBvvb2R6phA2v
Can U Get Away,2Pac,4bFi6vwibnjz38OYapehT7
Thinkin Bout You,Frank Ocean,7DfFc7a6Rwfi3YQMRbDMau
Big Poppa,The Notorious B.I.G.,2g8HN35AnVGIk7B8yMucww
Devil In A New Dress,Kanye West,1UGD3lW3tDmgZfAVDh6w7r
Mind Sex,Dead Prez,0AmNUVZWESLEtq1TMqgWWc
Ignition - Remix,R. Kelly,5dNfHmqgr128gMY2tc5CeJ
This Love,Dwele,3H83byiDU1hozpVC9IsLhR
Crazy Race,The RH Factor,3xtBixb5GqtKl6Z8AccJi9
Me And Those Dreamin' Eyes Of Mine,D'Angelo,5MjUkhqCpr5uZ39xZmLZxe
If U Really Want to Know (I Like It Fonk-kaa),Wayman Tisdale,5StRSWjjtycKt81LVrnWx2
Love What Happened Here,James Blake,2T5gsa0Yw7R8tyfwx15iXn
Rock Your Body,Justin Timberlake,1AWQoqb9bSvzTjaLralEkT
Where Would I Be (The Question),Kindred The Family Soul,56MbtP05s9Qt0NPG3S1QIT
Nothing Even Matters,Ms. Lauryn Hill,3xhXKRGahWzcXF8rD5gUvd
That Girl,Justin Timberlake,798GAE5BFFx7yCcloeTpCr
Feel Like Makin' Love,D'Angelo,2GnXSkwzi1cAHBAzHFczkF
How I Know,The RH Factor,6ZPvYPcr8SS5i8PVISA7tk
Prototype,OutKast,1QJb6LWvPXZpTMiqqODqkH
Kwah/Home,The RH Factor,591dTyoiDn0pYRVf7Y91ql
Sunshine,Wayman Tisdale,7CywgtqIEz0M6iUVmXr54Z
Charlene,Anthony Hamilton,0xiuSFBOEHWaJ6rSuUbJWc
Hey,KING,5HkW47BxKNgkW2bSNghlNa
CrazySexyCool-Interlude,TLC,0GVx3QAcdIesAuh6yUudZ8
Soul Sista,Bilal,1eetzMDPNpYSZOreBw7SSk
Clumsy,Fergie,50xeLNGKmskmYUSINhqvfa
Crushin' (Yeeeeaah!),J Dilla,2S0j1safTwqg1VKWLvs1DO
Ignition - Remix,R. Kelly,5dNfHmqgr128gMY2tc5CeJ
Step In the Name of Love - Remix,R. Kelly,7lrAsaTw9CTh5uSr0fvHOd
On & On,Erykah Badu,0tNuJpBgtE65diL6Q8Q7fI
Bag Lady,Erykah Badu,7BgUcOjSOlKJXASLgJ6bx1
Didn't Cha Know,Erykah Badu,7pv80uUHfocFqfTytu1MVi
So In Love,Curtis Mayfield,7gmB6hVMsv0XbjfiTgpATI
Be Thankful for What You've Got,William DeVaughn,2TKt71TTe2CZCFsphbIZEs
I'll Take Her,Calvin Richardson,0G6uXrh0RB2F0piPxyiCbA
Silicon Valley,Anderson .Paak,6zyXhzPJg7dCGuC5ToIxqN
Bad Habits - uncut,Maxwell,0f62w1teOSaYgKObtzygaR
Ain't Nothing Like The Real Thing,Marvin Gaye,21hgDlmFHhit010lsbkNln
Settle For My Love,Musiq Soulchild,47448JujiSNvPBXBTQkV7X
Say Yes,Floetry,2fE4MbwX3QGMzNaMjGVhtw
Rocket,Beyoncé,0755vnFQZLSgHHWbR1qCjY
Breakin' My Heart (Pretty Brown Eyes),Mint Condition,18sytW2s53Of6NVudQyUlH
Electric Ladyland - feat. Chris Turner,Jesse Fischer & Soul Cycle,2YDjGsoS3CKj6sAQnHiVPM
