Track,Artist,track_uri
Money Longer,Lil Uzi Vert,0B8QzDH7YWih85V5SEMnyJ
Still Brazy,YG,5Uj2at1EGAaWCrLyEUuXBp
"Left, Right",YG,1BpMnkPP9C5StoxcgcFEVz
Gas Pedal,Sage The Gemini,1L0rvFTlpoR8rHxdR4lTSN
Wild for the Night,A$AP Rocky,2rzBvHM9h36Tpdj7Jdajka
Boss Me,Nef The Pharaoh,68IdWIsyyVhOfmGb7mWfjm
Yiken (Certified),Priceless Da Roc,67ncKGqScuJdNUN6bTqclA
Blue Hunnids,Kool John,2BFeLCEDQBecReNuLbOHoQ
You Was Right,Lil Uzi Vert,2ANLarE8yHVsLWW21nj79M
Erase Your Social,Lil Uzi Vert,4uhvMW7ly7tJil31YYscAN
No Flockin,Kodak Black,34oWbFBfGEElvgO0a5c9V4
OOOUUU,Young M.A,7JYsArznYOjX2jsrT3UEnL
Broccoli (feat. Lil Yachty),DRAM,7yyRTcZmCiyzzJlNzGC9Ol
Dope Dealer,ScHoolboy Q,7pda6TLAbVGxUjIUtbiNt0
X (feat. Future),21 Savage,6fwdbPMwP1zVStm8FybmkO
Red Opps,21 Savage,3cqZH3cqvfbV8wVbvHyPbG
Too Much Sauce,DJ Esco,5oyUurs28XRagLa8lgm6V3
goosebumps,Travis Scott,6gBFPUFcJLzWGx4lenP6h2
Damn (feat. Bankroll Fresh),Travis Porter,7uy3PDZCOYufdzgGxbKpen
Bounce Back,Big Sean,0SGkqnVQo9KPytSri1H6cF
Broke Bitch,Yatta,1lIKtIhET1wTfCuFN5lwUL
Bad and Boujee (feat. Lil Uzi Vert),Migos,4Km5HrUvYTaSUfiSGPJeQR
Get Her Tho (feat. Tyga),D-Lo,1HDi7xRK2Tnw7nk0Q56OAF
beibs in the trap,Travis Scott,0ESJlaM8CE1jRWaNtwSNj8
Crazy Brazy,A$AP Mob,59e7E2LMPZ2bhW5G6aCwX8
Invincible (feat. Kool John),Nef The Pharaoh,6ck9ik36wvmuyTwQNikivO
Bring It Back,Travis Porter,6VWUOFXGwH1OgyPrfRONrn
"Bubble Butt (feat. Bruno Mars, 2 Chainz, Tyga & Mystic) - Radio Mix",Major Lazer,0JWgxvEygxVoaiST8TNvkq
Baller Alert,Tyga,3k8lIImSaFAWNNkUyT9XjA
Stutter,Gucci Mane,7jgBTiVeF54ccOHGTBkibB
Ski Mask,Smokepurpp,68knGuzTOVTBPlRZJfOHHS
Pipe It Up,Migos,6eBrlbv2HMYcldwjoMWIrC
Versace (Remix),Migos,0XGLsSU6wtfnKXiMNvQr61
Everything Big,Nef The Pharaoh,0z3b2m1C2KXtnWEW4bdWIr
Gimmie Top,Nef The Pharaoh,0uS85UoeCFUEEYHgJ0qXI4
Skateboard P,MadeinTYO,4qdgv45EPcQqpQ08tF34f8
Bend Ova,Lil Jon,35x6JdLCr4VWWR5ShNoAWo
Do My Dance,Tyga,7Hk12JkCFwLO4s1jRGBS6s
Function (Remix) [feat. Problem; Young Jeezy; Chris Brown; French Montana; Red Café],E-40,5Q2Y3pi5JJmMkRzSaavdWR
Bricks,Carnage,76OSY26fhv9aJ0WZTezF34
wonderful,Travis Scott,1cZlBZwnwGPtYeRIeQcoFh
The Way In,Marvin Dolo,1aoDy1dX6d2tCsFS06i7Ar
Drank On Me,Trill Youngin Capolow,5IMih9J2r9Jj37BIW2YHZQ
I Know,D Savage,4lay3Vtg4Y2m1ftaNNC72r
Ran It Up (feat. Young Thug),Rich The Kid,2BYtScsbvUhv1FYu7TfLcC
"IT G MA REMIX (feat. A$AP Ferg, Father, Dumbfoundead, Waka Flocka Flame)",Keith Ape,0gpFiquPvir7e3RrM4kii9
Calvin Cambridge,SOB X RBE,4HK9Ive4wK7426QXxQZS6L
Anti,SOB X RBE,3BVC9lRwjgKrWwDxgFAKA8
No Love (Remix),Chief Keef,5Jvkgo4ayGZn1QPyAoBCFb
Love Sosa,Chief Keef,4IowQDUOzUvNtp72HMDcKO
Hate Bein' Sober,Chief Keef,3SuzCeGoNOWmbWOoDMou0B
I Don't Like (Remix),Chief Keef,2W4VOh7SNDK1OFzvT3H3FU
Digits,Young Thug,4cg1yakyRSIOjxKM2I7J1q
T-Shirt,Migos,7KOlJ92bu51cltsD9KU5I7
Where Ya At,Future,5nN8BwAQDJDguq7Dpd3JQQ
Best Friend,Young Thug,33JcUj9qQDayKswunZP9ar
B.O.H. (Intro),Lil Playboi & Yellaboy Trent,5DoSWddxPK2wMwrqw8eLgL
Asshole,Mike Sherm,6aD0Es1eyfVqpYZKJm9WkC
