Track,Artist,track_uri
Cameron,JAWS,5JwCwVHedC9rtCwApVyrtr
Fade Out,Nick Diamonds,1c4xgMvnBo2w6TCrSSbCTr
They Say I'm Different,Betty Davis,7yQpHgbDPweCZhTD5ZtXES
Suede,NxWorries,7kFxZ5ckpMi2RhN1WH8cn2
Brighter End of Dark,De Lux,5HGJzaGeM9u5AROQkNu12e
Link Up,NxWorries,6EddQZZdY4yK6oFtFIIGBp
Broken Chinese Chairz,Ex Cops,5coBuvgaWfG3Ap0S6gVWT4
Tightrope,WALK THE MOON,44psOy0D0SP8rcIiUgKgBs
"Blue Soda, Pt. 1",Pomo,4xT1bpQJ94otJI6wivCHML
My Girls,Tears For Fears,6Rpx7uap1u0uPL2n8tX6bm
Life Itself,Glass Animals,32zkKx35Et6A515oZKxDkD
Couldn't Believe,Broods,2SCblOXQDX2ToK7JvqCksw
Animal,Miike Snow,1uxdxSC2bfUFYVqxvejVC3
Blister in the Sun - 2002 Remastered Version,Violent Femmes,5TM2eqdzfWPHklI7YnBmsD
Radar Detector,Darwin Deez,0j1xdKVaqfLFpLPpZqyZLl
Southern Comfort,The Orwells,2LJ2VQL1bklQpAnO0Y69a0
Giants,Bear Hands,5ciqyuB1G3ulnQsNGmoOE8
The Struggle,Grizfolk,5HfkyDiR62nQtbkcPtEwHa
You + Me (Still Together In The Future),Oberhofer,4Lhw8mzXiXKuUPC7bcD372
Ring the Bell,YACHT,5XaZmqCEULCO5Qs6PN0Os1
Take The Kids Off Broadway,Foxygen,0WO5tRuZSxFekZoQ47Vk80
Cryptograms,Deerhunter,771iBdP2ezFeVFTd9aSq6p
So Far We Are,French Kicks,3e71FfYwd7rgozcKXzJtD0
The Witch,The Walkmen,1BlsoyEYe0dUCnWW4kk3Mq
Kitty,The Presidents Of The United States Of America,4WamMWxFi6ts3xkIhivF5c
Enter Through The Sun,Young Empires,5qJyKC2s8fPODW5cuTpf5s
Golden,White Arrows,7Cnmemy0ICDuEcWqx95Jc2
