Track,Artist,track_uri
Show Me,Kid Ink,2q6j0nlwgKlYy7xgrria4S
Work Out,J. Cole,6rbeWjEavBHvX2kr6lSogS
The Show Goes On,Lupe Fiasco,4NTWZqvfQTlOMitlVn6tew
Holdin On,Flume,0s7IPHuj8K0MlHn1Fp6DZ0
Say My Name (feat. Zyra) - GANZ Remix,ODESZA,7a3SBek0DeekEjn43D1dDT
Be Real,Kid Ink,32tBNiuuQtkUG5eBWpC0oQ
You & Me,Marc E. Bassy,7yCqehT9dKACTFy7YugP0J
Cold Water (feat. Justin Bieber & MØ),Major Lazer,6DNtNfH8hXkqOX1sjqmI7p
Let Me Love You,DJ Snake,4pdPtRcBmOSQDlJ3Fk945m
Starving,Hailee Steinfeld,6875MeXyCW0wLyT72Eetmo
Final Song,MØ,4qqArAiTPueDxIp7cf87h7
Post To Be (feat. Chris Brown & Jhene Aiko),Omarion,0fgZUSa7D7aVvv3GfO0A1n
Cockiness (Love It),Rihanna,76iUSvF96Plu0764Jjc6xL
Ayo,Chris Brown,0k6DnZMLoEUH8NGD5zh2SE
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,2NVt7fxr5GsqTkGwYXcNTE
679 (feat. Remy Boyz),Fetty Wap,5NQbUaeTEOGdD6hHcre0dZ
The Fix (feat. Jeremih),Nelly,20IZ0jYjnFO0NxyiaRsJwb
All Night (feat. Knox Fortune),Chance The Rapper,60xaS8mYBKUW4VQQ666N0T
All We Got (feat. Kanye West & Chicago Children's Choir),Chance The Rapper,3ZLyt2ndLFBh148XRYjYYZ
Famous,Kanye West,19a3JfW8BQwqHWUMbcqSx8
Father Stretch My Hands Pt. 1,Kanye West,4KW1lqgSr8TKrvBII0Brf8
Waves,Kanye West,3nAq2hCr1oWsIU54tS98pL
Pumped Up Kicks,Foster The People,7w87IxuO7BDcJ3YUqCyMTT
Move Your Body - Alan Walker Remix,Sia,6LUOMjoORvAkdhBYvESO46
