Track,Artist,track_uri
OutRight,Wild Party,6TGapnqEUkkSBanKyn5qYy
Cocoon,Catfish and the Bottlemen,4Sdmlm62m1Rj0BqH1Sc9ox
She Moves In Her Own Way,The Kooks,5xoUgPXbMNUmoHU0Enwtwq
Nomu,Good Kid,4vLqMaYufCNrk4D2DA3mja
Pushing Daisies,The Castle Walls,5jpOajhpps4cyTCJR4wUjK
Art School Wannabe,Sorority Noise,4Kf8k3PePyWeEQqwxZLQ4i
Gutter Girl,Hot Flash Heat Wave,0ja3CywBYUp2kEw0BpwIdh
Everything Hurts,King Shelter,71i8JmLQby196YAjqPQfwU
Airliner,Cheers Elephant,0Jy5pHquEORpow96BnA2Q5
Road to Ruin,Captiva,3mwQOb1VdyvIrljTkQsZD3
Chasin' Honey,Wild Party,0Z0iYAtKYswMYXL3kJtdO4
Gimme Twice,The Royal Concept,3DUBhiM44zetJNERX0n8Nk
Ocean's Deep,Born Ruffians,1tdRY0VeyoaFL5nG6eUzRD
When I Get Older,Wild Party,4NOZKKJKMWhQCe5uyQNNG6
New Friends,Kid Cadaver,44Xu6i407KrVUK2QiWp7wW
Sheila Put The Knife Down,Junior Prom,40vh3bhbLOfjhoz6sdg4Bw
Daisy Chains,Will Joseph Cook,5HxfLkSX2Nl7BErO1q15sa
Sour Patch Kids - Acoustic Redux,Bryce Vine,3VL2I21M04Nz08LnVBfNaD
One in the Same,Eyes on the Shore,5NDDkIkDupH0RoFGhPjSmf
Maddy Brown,My Brothers And I,1pxV0DY4TrhKU4LImyZfzs
Rosa Dear,Ruth,3J3pTvZjZHMJ4LVWQQUwVn
Make You Mine,Public,7MZIMa29N98fjb7CefC7KJ
Wallflowers,The Static Jacks,08FWF2Hgvb2rSiScI4IPbE
Preoccupy,King Shelter,5HHqR8dVY6POG1VanI6FBB
Like Or Like Like,Miniature Tigers,3Gp3KGChMmdv5v8ahwOCCR
We're Not Just Friends,"Parks, Squares and Alleys",0CyRloqqjpeKEAd3cO6J6z
Never Be Your Man,Tom Lark,3ka9Zr12zgY4jfZtMgT4Hb
Atlas,Good Kid,6veYpwNZnp6nJnSzscG2Cl
Kathleen,Catfish and the Bottlemen,3pi3WlGV7JinOxzqnBkNFi
Leaves,Cheers Elephant,0d2rdbsuhInFDSYnYj1vMV
Breaking Up My Bones,Vinyl Theatre,7k1pfmKI7t0AprW7SEdFpC
Beware The Dog,The Griswolds,3KIIwkf6lNwJqLcx6GUIzr
Die Trying,Michl,5O06nbk5wDRr1WR3Tyo0Af
The Other Side Of Paradise,Glass Animals,0rRjGruFonCGOt0S5zAJNQ
Gooey,Glass Animals,5b9iBVhfYxDF4JJcHrNIx5
Worlds On Fire,Zerbin,2lmKLINBKNk8UVVSVfS8iC
All Over,CRUISR,7IDKIfRltN07TdsdTVtRHh
Throw Shade,CRUISR,3dXjAh7UEuCJnLIeFKNkxd
Socks & Sandals,Dutch Criminal Record,1XMFL0CPMgY05jZyX8sqdy
Someday,The Strokes,56NkIxSZZiMpFP5ZNSxtnT
Talk Too Much,COIN,4djIFfof5TpbSGRZUpsTXq
Fire,Diskopunk,5jRJlGB5EP7HFKwYBKvlSA
Don't Sing (feat. Benny Sings),Data,3Q7Fhds0twd9SAHrcGTwYL
Run,COIN,6szw2Y2ywtth0oc7ODN3Tz
Pristine,Mantaraybryn,52ug4BzkXF06EkVX8axf8y
Two Tone Hair,Made Violent,12XPt2uE1sQdpo4kwfJqVJ
Personal Addict,Kid Cadaver,4yDkFmpp9lb9grzFGrUpXy
Stars,Future Generations,1LHE8cxWt7SVCitinqEhyl
Circles,BABE,3Y2FNsRMqE4vGxxzNPLcWj
Flame,Sundara Karma,1xa5lmjPwKj1LVXpxM7HHW
Dojah,Kid Indigo,5pM4MR0BPWeDfMiBb0VRFq
Young Blood,Sun Culture,26FGYQ1B3ED88sx7w0kAGx
Run or Hide,Run River North,0gL2wxDmyNN71eEuCQUUfX
Bull Ride,Magic City Hippies,7gEsvmNXEFu0I1gR3x8YGl
Kidnap Me,CRUISR,3f9Vq2NkEErxgbToSAztFD
Make It On Your Own,Of Gentlemen & Cowards,3bnB0NwUx9TgIHJxO3Ino8
Not a One,The Young Wild,4DBscf5jTXGHL5hyBobKgR
Poison,Jet Black Alley Cat,16vCpmGftIPbqNZv5i5bjz
Nicotine,Escapades,4wrxjivm84hcR7xpjFd5fH
Lost Angeles,GIANNI TAYLOR,4gOQVauxgNukV7Ie01JiYP
Fire That Burns,Circa Waves,735pDzS4ezIvEZaEMIgKyH
Goodbye,Circa Waves,5pZgU3NQaQuijrq51NP3OE
Miranda Beach,COIN,3BvLJqCOHzN6AMSKAemkVV
Control,Olympic Ayres,6l3hIzPpWXFckERW2RKd2e
Seven,Rainbow Kitten Surprise,465hVdgg75kPgRdpJfEFFT
The Way She Said,Velour,67lNFKw4lxOCGrfIm0FOaH
Someone's Disaster,Beach Weather,0iiQcNtRtv0cPgxUekL9Jl
"I'm Not Crying. You're Not Crying, Are You?",Dear and the Headlights,6dNSDJ9ggTZ1ai4MUmx4T4
Moscow,Autoheart,4ylE1Sl2wohbCvToD1fHsl
The Breach,Dionysia,13SDMUyQ7dUfUR1zpAybos
Zombie,Dionysia,5pBdV3q6fg5y9KEiBRufvx
Stream,Last Dinosaurs,3WvBluqSNpfzhLjPA4YRpv
Georgia,Lydia,5kNHtMn6zP6embphzImOtl
