Track,Artist,track_uri
Crystals,Of Monsters and Men,5wU6jk9kxYzFGUpeE6T2Q5
The Middle,Jimmy Eat World,3mcG2NI5G5vhrQtRda1YnA
T-Shirt Weather,Circa Waves,1uNH7kknB8MVkmh6FfDb6W
Sober,Childish Gambino,6olUplztLFFfU7fMYmFXOP
HELLO,Allie X,47fsBEXAmXzJILc1B9dqIb
I’m Yours,Justine Skye,52ZAsLhFwhCZsExUpSdG5H
All I Want,Kodaline,5JuA3wlm0kn7IHfbeHV0i6
Tightrope,WALK THE MOON,44psOy0D0SP8rcIiUgKgBs
Anna Sun,WALK THE MOON,3e0yTP5trHBBVvV32jwXqF
Quesadilla,WALK THE MOON,2CdNHP8DJ5tfbRoIRdcTeE
I Bet My Life,Imagine Dragons,15DrrIod12Tc2IoMaHiwlQ
Just the Way You Are,Bruno Mars,7BqBn9nzAq8spo5e7cZ0dJ
"Shake, Shake, Shake",Bronze Radio Return,4dI4oscajpdtjpg2dP1x28
The Fool,Ryn Weaver,5VF6OStYFWd5QTpxTvDXCU
Kill Your Attitude,Darwin Deez,1eAPrBKvg3sjQ3tNU8OE8R
Always Like This,Bombay Bicycle Club,5NtoPBmhY7WGdpsHmpy9Xh
"Take Yours, I'll Take Mine",Matthew Mole,4c2Zdtqy5x9BkhTSJRTDmk
Just Like You,Falling In Reverse,1wQPcfKUzpzrf6gcVqQh04
Paper Planes,East of Avenue,76M8wcCu97OMOQfcdxHvbl
Until We Die,Gentle Bones,3XO06fxFg9nW1lprKef2W2
Settle Down,Gentle Bones,5fiac7SW61qWXs2hSj3bE4
You Found Me,The Fray,4IoYz8XqqdowINzfRrFnhi
Tongue Tied,Grouplove,0GO8y8jQk1PkHzS31d699N
Cough Syrup,Young the Giant,1UqhkbzB1kuFwt2iy4h29Q
Pumpin Blood,NONONO,7ti4qMC7xYQeh1uRzj5XuM
Here,Alessia Cara,1wYZZtamWTQAoj8B812uKQ
OctaHate,Ryn Weaver,7JVfDagtyWy9bYsaf37H9K
Believe,Mumford & Sons,2DVUJ7LTIOEQqjfOZXs8iU
English Girls,The Maine,1CJWqvuoxon9DCPfdKyazq
Leave Your Lover,Sam Smith,4bdPdSIHu8OeWpLWEEB2ts
Save Me,Gentle Bones,2Ien06dGkzrBXxaLj7ALNC
Elusive,Gentle Bones,5VjHE9L1DSvXFAWpigpukf
Apologize,OneRepublic,6fOPuabPdAJ0HgqJFcDGb1
Undercover Martyn,Two Door Cinema Club,2jnvdMCTvtdVCci3YLqxGY
What You Know,Two Door Cinema Club,6jrMVRReY24qzCfe1BRrww
Everybody Talks,Neon Trees,2iUmqdfGZcHIhS3b9E9EWq
Love Me Harder,Ariana Grande,45wBTYlOx3FsuFluuuRRQh
Can't Feel My Face,The Weeknd,6RsWqX8zABZLhZydXxEFOm
Stressed Out,Twenty One Pilots,3CRDbSIZ4r5MsZ0YwxuEkn
Come Back To Me,Urban Cone,28OBjsObwOY6JY86C2dalp
My Body,Young the Giant,1KDYN3odJHnj9pqGHN3FVs
Such Great Heights,The Postal Service,3iDK8BAaBUatPR84gdfa9g
Girl Crush,New Politics,1Nh3lQFZsnyCmFPCK93avB
Tonight You're Perfect,New Politics,3ym8RPF4EQPqtW0v8G44BT
Hold Me Down,Halsey,4U38hORPx8SsUAXGumsUYN
Kisser,Step Rockets,0OAB34xpyTE93hkUTfyZOS
